Classifier	Classifier param 	Feature 	Age Group 	Avg. Correct 	Avg. Accuracy 	BTRG
<class 'core.classifier.NearestNeighborsClassifier'>	[5]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(12, 23, 100)	108.0	0.646706586826	1.94011976048
<class 'core.classifier.NearestNeighborsClassifier'>	[5]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(7, 15, 22, 100)	93.0	0.556886227545	2.22754491018
<class 'core.classifier.NearestNeighborsClassifier'>	[5]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 12, 18, 100)	78.0	0.467065868263	1.86826347305
<class 'core.classifier.NearestNeighborsClassifier'>	[5]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 10, 15, 20, 25, 100)	58.0	0.347305389222	2.08383233533
<class 'core.classifier.NearestNeighborsClassifier'>	[5]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(12, 23, 100)	106.0	0.634730538922	1.90419161677
<class 'core.classifier.NearestNeighborsClassifier'>	[5]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(7, 15, 22, 100)	86.0	0.51497005988	2.05988023952
<class 'core.classifier.NearestNeighborsClassifier'>	[5]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(5, 12, 18, 100)	87.0	0.520958083832	2.08383233533
<class 'core.classifier.NearestNeighborsClassifier'>	[5]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(5, 10, 15, 20, 25, 100)	64.0	0.383233532934	2.2994011976
<class 'core.classifier.NearestNeighborsClassifier'>	[10]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(12, 23, 100)	98.0	0.586826347305	1.76047904192
<class 'core.classifier.NearestNeighborsClassifier'>	[10]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(7, 15, 22, 100)	69.0	0.413173652695	1.65269461078
<class 'core.classifier.NearestNeighborsClassifier'>	[10]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 12, 18, 100)	74.0	0.443113772455	1.77245508982
<class 'core.classifier.NearestNeighborsClassifier'>	[10]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 10, 15, 20, 25, 100)	49.0	0.293413173653	1.76047904192
<class 'core.classifier.NearestNeighborsClassifier'>	[10]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(12, 23, 100)	100.0	0.59880239521	1.79640718563
<class 'core.classifier.NearestNeighborsClassifier'>	[10]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(7, 15, 22, 100)	86.0	0.51497005988	2.05988023952
<class 'core.classifier.NearestNeighborsClassifier'>	[10]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 12, 18, 100)	73.0	0.437125748503	1.74850299401
<class 'core.classifier.NearestNeighborsClassifier'>	[10]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 10, 15, 20, 25, 100)	59.0	0.353293413174	2.11976047904
<class 'core.classifier.NearestNeighborsClassifier'>	[10]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(12, 23, 100)	104.0	0.622754491018	1.86826347305
<class 'core.classifier.NearestNeighborsClassifier'>	[10]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(7, 15, 22, 100)	89.0	0.532934131737	2.13173652695
<class 'core.classifier.NearestNeighborsClassifier'>	[10]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(5, 12, 18, 100)	75.0	0.449101796407	1.79640718563
<class 'core.classifier.NearestNeighborsClassifier'>	[10]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(5, 10, 15, 20, 25, 100)	71.0	0.425149700599	2.55089820359
<class 'core.classifier.NearestNeighborsClassifier'>	[15]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(12, 23, 100)	108.0	0.646706586826	1.94011976048
<class 'core.classifier.NearestNeighborsClassifier'>	[15]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(7, 15, 22, 100)	66.0	0.395209580838	1.58083832335
<class 'core.classifier.NearestNeighborsClassifier'>	[15]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 12, 18, 100)	76.0	0.455089820359	1.82035928144
<class 'core.classifier.NearestNeighborsClassifier'>	[15]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 10, 15, 20, 25, 100)	55.0	0.329341317365	1.97604790419
<class 'core.classifier.NearestNeighborsClassifier'>	[15]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(12, 23, 100)	92.0	0.550898203593	1.65269461078
<class 'core.classifier.NearestNeighborsClassifier'>	[15]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(7, 15, 22, 100)	80.0	0.479041916168	1.91616766467
<class 'core.classifier.NearestNeighborsClassifier'>	[15]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 12, 18, 100)	67.0	0.40119760479	1.60479041916
<class 'core.classifier.NearestNeighborsClassifier'>	[15]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 10, 15, 20, 25, 100)	57.0	0.341317365269	2.04790419162
<class 'core.classifier.NearestNeighborsClassifier'>	[15]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(12, 23, 100)	97.0	0.580838323353	1.74251497006
<class 'core.classifier.NearestNeighborsClassifier'>	[15]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(7, 15, 22, 100)	79.0	0.473053892216	1.89221556886
<class 'core.classifier.NearestNeighborsClassifier'>	[15]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(5, 12, 18, 100)	70.0	0.419161676647	1.67664670659
<class 'core.classifier.NearestNeighborsClassifier'>	[15]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(5, 10, 15, 20, 25, 100)	59.0	0.353293413174	2.11976047904
